InvoiceNumber	Date	ProductCode	TotalCost	TotalSalesAmount	SalesPersonCode	FirstName	LastName	Country
INV3391	2014/4/5	ACCE3830	1174.485	1565.98	usr015	Melissa	Lynch	Brazil
INV3420	2016/1/18	ACCE3980	5497.5375	7330.05	usr002	Dorothy	Hill	Brazil
INV3423	2013/11/21	ACCE3980	3665.025	4886.7	usr022	Elizabeth	Weaver	Brazil
INV3437	2015/6/28	ACCE3980	7330.05	9773.4	usr036	Nicole	Mendoza	Brazil
INV3438	2013/5/27	BIKE3530	2147.25	2863	usr015	Melissa	Lynch	Brazil
INV3456	2015/6/12	BIKE4620	749.37	999.16	usr018	Roy	Jackson	Brazil
INV3458	2015/12/5	BIKE3680	505.83	674.44	usr013	Louis	Rice	Brazil
INV3475	2015/4/13	BIKE3680	252.915	337.22	usr010	Gregory	Sanders	Brazil
INV3510	2013/9/21	BIKE3530	2147.25	2863	usr018	Roy	Jackson	Brazil
INV3530	2013/7/22	ACCE3830	587.2425	782.99	usr036	Nicole	Mendoza	Brazil
INV3576	2015/11/26	ACCE3980	3665.025	4886.7	usr001	Elizabeth	Hayes	Brazil
INV3581	2013/11/2	BIKE3680	252.915	337.22	usr040	Judy	Snyder	Brazil
INV3594	2015/5/12	BIKE4620	187.3425	249.79	usr027	Patricia	Jacobs	Brazil
INV3595	2013/8/27	ACCE3830	587.2425	782.99	usr017	Donald	Thomas	Brazil
INV3618	2013/2/10	BIKE3530	2147.25	2863	usr014	Joe	Warren	Brazil
INV3650	2015/6/8	BIKE4620	749.37	999.16	usr046	Kathleen	Scott	Brazil
INV3663	2014/12/14	ACCE3830	1174.485	1565.98	usr028	Jennifer	Bell	Brazil
INV3677	2014/8/23	BIKE3680	758.745	1011.66	usr031	Margaret	Matthews	Brazil
INV3716	2014/8/15	BIKE3680	1264.575	1686.1	usr041	Lillian	Mills	Brazil
INV3731	2016/3/7	BIKE4620	936.7125	1248.95	usr048	Debra	Riley	Brazil
INV3772	2013/1/28	ACCE3980	5497.5375	7330.05	usr018	Roy	Jackson	Brazil
INV3779	2013/12/7	BIKE3680	1264.575	1686.1	usr031	Margaret	Matthews	Brazil
INV3787	2015/10/14	BIKE3530	3220.875	4294.5	usr045	Frances	Walker	Brazil
INV3789	2015/3/5	ACCE3980	3665.025	4886.7	usr039	Samuel	Cruz	Brazil
INV3799	2014/3/26	BIKE3530	4294.5	5726	usr009	Andrew	Andrews	Brazil
INV3804	2016/2/24	BIKE3680	252.915	337.22	usr041	Lillian	Mills	Brazil
INV3827	2015/11/3	ACCE3980	1832.5125	2443.35	usr013	Louis	Rice	Brazil
INV3840	2014/8/26	ACCE3830	2936.2125	3914.95	usr036	Nicole	Mendoza	Brazil
INV3844	2014/7/12	BIKE3530	4294.5	5726	usr018	Roy	Jackson	Brazil
INV3857	2014/9/17	BIKE3530	5368.125	7157.5	usr019	William	Grant	Brazil
INV3873	2014/3/14	BIKE3680	1011.66	1348.88	usr040	Judy	Snyder	Brazil
INV3884	2014/8/13	ACCE3980	5497.5375	7330.05	usr017	Donald	Thomas	Brazil
INV3888	2015/2/13	ACCE3980	5497.5375	7330.05	usr008	Rachel	Arnold	Brazil
INV3906	2013/12/17	BIKE4620	562.0275	749.37	usr011	Edward	Kennedy	Brazil
INV3945	2015/9/5	BIKE4620	187.3425	249.79	usr024	Barbara	Martinez	Brazil
INV3953	2015/8/7	ACCE3980	9162.5625	12216.75	usr007	Christina	Cook	Brazil
INV3983	2014/4/8	BIKE3530	2147.25	2863	usr038	Douglas	Jenkins	Brazil
INV3999	2014/5/4	BIKE4620	374.685	499.58	usr039	Samuel	Cruz	Brazil
INV4008	2013/12/18	BIKE3680	505.83	674.44	usr027	Patricia	Jacobs	Brazil
INV4044	2015/6/29	ACCE3830	1174.485	1565.98	usr027	Patricia	Jacobs	Brazil
INV4086	2014/6/8	BIKE3530	5368.125	7157.5	usr047	Martin	King	Brazil
INV4117	2015/3/30	ACCE3980	9162.5625	12216.75	usr035	Willie	Jackson	Brazil
INV4128	2016/1/17	ACCE3980	3665.025	4886.7	usr015	Melissa	Lynch	Brazil
INV4133	2014/7/17	BIKE3530	4294.5	5726	usr037	Samuel	Martin	Brazil
INV4148	2013/3/1	BIKE3680	252.915	337.22	usr002	Dorothy	Hill	Brazil
INV4158	2015/10/29	BIKE3680	1011.66	1348.88	usr021	Doris	Jones	Brazil
INV4175	2014/1/31	ACCE3980	7330.05	9773.4	usr044	Clarence	Ortiz	Brazil
INV4177	2014/9/9	ACCE3830	587.2425	782.99	usr035	Willie	Jackson	Brazil
INV4185	2015/4/27	BIKE3530	3220.875	4294.5	usr040	Judy	Snyder	Brazil
INV4269	2014/4/29	BIKE3680	252.915	337.22	usr035	Willie	Jackson	Brazil
INV4276	2013/4/28	BIKE4620	187.3425	249.79	usr013	Louis	Rice	Brazil
INV4288	2013/5/25	BIKE3530	2147.25	2863	usr027	Patricia	Jacobs	Brazil
INV4318	2014/6/19	ACCE3830	1174.485	1565.98	usr035	Willie	Jackson	Brazil
INV4327	2013/1/23	BIKE4620	374.685	499.58	usr014	Joe	Warren	Brazil
INV4342	2013/10/4	BIKE3680	1264.575	1686.1	usr032	Joe	Perry	Brazil
INV4349	2015/7/18	BIKE3680	505.83	674.44	usr010	Gregory	Sanders	Brazil
INV4361	2013/9/16	BIKE3530	5368.125	7157.5	usr032	Joe	Perry	Brazil
INV4365	2014/11/30	BIKE4620	749.37	999.16	usr023	Randy	Brown	Brazil
INV4377	2013/10/6	BIKE4620	749.37	999.16	usr026	Ralph	Ramos	Brazil
INV4386	2016/3/30	ACCE3980	7330.05	9773.4	usr035	Willie	Jackson	Brazil
INV4405	2013/11/22	BIKE4620	562.0275	749.37	usr021	Doris	Jones	Brazil
INV4437	2016/1/22	ACCE3980	5497.5375	7330.05	usr001	Elizabeth	Hayes	Brazil
INV4451	2014/10/14	BIKE3680	1011.66	1348.88	usr014	Joe	Warren	Brazil
INV4452	2014/2/15	BIKE4620	374.685	499.58	usr003	Wayne	Parker	Brazil
INV4457	2014/12/2	BIKE4620	562.0275	749.37	usr045	Frances	Walker	Brazil
INV4481	2013/10/19	BIKE3530	1073.625	1431.5	usr031	Margaret	Matthews	Brazil
INV4484	2013/3/28	BIKE4620	562.0275	749.37	usr026	Ralph	Ramos	Brazil
INV4496	2013/7/4	BIKE4620	936.7125	1248.95	usr020	Bobby	Bishop	Brazil
INV4499	2014/8/25	BIKE3530	5368.125	7157.5	usr002	Dorothy	Hill	Brazil
INV4527	2014/3/18	BIKE4620	749.37	999.16	usr004	Willie	Montgomery	Brazil
INV4541	2014/7/26	BIKE3530	1073.625	1431.5	usr047	Martin	King	Brazil
INV4548	2013/8/7	ACCE3980	7330.05	9773.4	usr029	Kelly	Howell	Brazil
INV4552	2013/6/1	ACCE3830	587.2425	782.99	usr042	Jessica	Larson	Brazil
INV4575	2015/8/28	BIKE4620	187.3425	249.79	usr021	Doris	Jones	Brazil
INV4580	2013/1/16	BIKE3530	5368.125	7157.5	usr018	Roy	Jackson	Brazil
INV4595	2013/5/4	BIKE4620	936.7125	1248.95	usr014	Joe	Warren	Brazil
INV4596	2014/5/25	ACCE3830	1174.485	1565.98	usr032	Joe	Perry	Brazil
INV4624	2015/5/7	BIKE3680	252.915	337.22	usr002	Dorothy	Hill	Brazil
INV4638	2013/3/15	BIKE3680	252.915	337.22	usr036	Nicole	Mendoza	Brazil
INV4655	2015/10/31	ACCE3980	1832.5125	2443.35	usr030	Frank	Fernandez	Brazil
INV4664	2013/5/17	BIKE3530	1073.625	1431.5	usr016	Kevin	Edwards	Brazil
INV4704	2015/11/22	BIKE4620	374.685	499.58	usr014	Joe	Warren	Brazil
INV4756	2013/9/29	ACCE3830	2936.2125	3914.95	usr032	Joe	Perry	Brazil
INV4762	2014/9/2	ACCE3980	1832.5125	2443.35	usr042	Jessica	Larson	Brazil
INV4771	2014/8/26	ACCE3830	1174.485	1565.98	usr032	Joe	Perry	Brazil
INV4785	2013/1/10	ACCE3830	2936.2125	3914.95	usr016	Kevin	Edwards	Brazil
INV4792	2015/6/7	ACCE3980	5497.5375	7330.05	usr040	Judy	Snyder	Brazil
INV4796	2014/5/20	BIKE4620	936.7125	1248.95	usr028	Jennifer	Bell	Brazil
INV4810	2015/12/2	ACCE3980	5497.5375	7330.05	usr050	Maria	Stanley	Brazil
INV4826	2016/2/26	BIKE4620	936.7125	1248.95	usr039	Samuel	Cruz	Brazil
INV4831	2013/6/20	BIKE4620	749.37	999.16	usr025	David	Carr	Brazil
INV4866	2013/3/2	BIKE4620	749.37	999.16	usr046	Kathleen	Scott	Brazil
INV4869	2013/7/25	BIKE4620	562.0275	749.37	usr022	Elizabeth	Weaver	Brazil
INV4899	2013/9/14	BIKE3680	252.915	337.22	usr020	Bobby	Bishop	Brazil
INV4925	2016/2/10	ACCE3980	5497.5375	7330.05	usr002	Dorothy	Hill	Brazil
INV4951	2015/7/5	ACCE3830	1761.7275	2348.97	usr049	Rose	Stone	Brazil
INV4966	2014/10/30	BIKE4620	562.0275	749.37	usr002	Dorothy	Hill	Brazil
INV4970	2013/11/7	BIKE3680	1264.575	1686.1	usr017	Donald	Thomas	Brazil
INV4983	2015/1/23	BIKE3530	4294.5	5726	usr011	Edward	Kennedy	Brazil
INV4986	2016/1/20	ACCE3980	5497.5375	7330.05	usr042	Jessica	Larson	Brazil
INV4989	2013/9/13	BIKE3680	1264.575	1686.1	usr033	Keith	Cox	Brazil
INV4992	2014/9/12	BIKE3530	1073.625	1431.5	usr042	Jessica	Larson	Brazil
INV0003	2015/2/13	BIKE3630	1264.575	1686.1	usr016	Kevin	Edwards	China
INV0019	2016/1/2	BIKE4550	829.08	1105.44	usr045	Frances	Walker	China
INV0026	2014/2/1	BIKE3630	1264.575	1686.1	usr033	Keith	Cox	China
INV0044	2014/5/7	BIKE4080	313.5375	418.05	usr035	Willie	Jackson	China
